"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 28, 2019","252.00","257.00","257.00","250.50","0.01K","-1.66%"
"Feb 27, 2019","256.25","264.25","265.00","254.00","0.28K","-3.48%"
"Feb 26, 2019","265.50","270.00","270.50","264.25","0.33K","-1.30%"
"Feb 25, 2019","269.00","273.00","273.75","267.75","0.24K","-0.74%"
"Feb 22, 2019","271.00","270.00","272.00","269.00","0.34K","0.37%"
"Feb 21, 2019","270.00","271.75","272.75","267.75","0.54K","0.09%"
"Feb 20, 2019","269.75","270.25","274.25","263.25","1.00K","-0.09%"
"Feb 19, 2019","270.00","277.25","278.00","269.25","0.77K","-2.09%"
"Feb 15, 2019","275.75","281.00","281.75","275.00","0.99K","-2.22%"
"Feb 14, 2019","282.00","282.00","284.00","281.00","0.46K","0.09%"
"Feb 13, 2019","281.75","286.00","287.75","281.50","0.44K","-1.83%"
"Feb 12, 2019","287.00","282.00","287.75","281.00","0.49K","1.68%"
"Feb 11, 2019","282.25","284.75","285.25","281.00","0.54K","-0.70%"
"Feb 08, 2019","284.25","287.25","288.25","283.50","0.46K","-0.70%"
"Feb 07, 2019","286.25","287.00","288.25","285.25","0.19K","-0.43%"
"Feb 06, 2019","287.50","291.50","292.50","286.50","0.43K","-1.29%"
"Feb 05, 2019","291.25","289.25","293.00","289.25","0.35K","0.78%"
"Feb 04, 2019","289.00","291.00","294.50","288.50","0.38K","0.17%"
"Feb 01, 2019","288.50","283.75","289.75","283.75","0.47K","2.12%"
"Jan 31, 2019","282.50","281.50","283.75","280.75","0.50K","0.09%"
"Jan 30, 2019","282.25","282.75","285.00","280.00","0.64K","0.09%"
"Jan 29, 2019","282.00","284.75","288.00","281.75","0.44K","-1.23%"
"Jan 28, 2019","285.50","291.00","294.50","278.00","0.75K","-1.89%"
"Jan 25, 2019","291.00","291.00","292.75","290.25","0.15K","0.09%"
"Jan 24, 2019","290.75","294.00","296.00","290.00","0.32K","-1.36%"
"Jan 23, 2019","294.75","296.75","297.00","289.00","0.25K","-0.76%"
"Jan 22, 2019","297.00","298.00","299.75","296.00","0.22K","-0.59%"
"Jan 18, 2019","298.75","296.00","299.50","296.00","0.17K","1.01%"
"Jan 17, 2019","295.75","296.00","298.75","295.00","0.25K","0.08%"
"Jan 16, 2019","295.50","294.50","296.75","293.00","0.24K","1.03%"
"Jan 15, 2019","292.50","300.75","300.75","291.75","0.57K","-2.50%"
"Jan 14, 2019","300.00","294.75","303.50","292.50","1.03K","1.78%"
"Jan 11, 2019","294.75","289.00","295.00","287.75","0.59K","2.08%"
"Jan 10, 2019","288.75","285.50","289.50","285.00","0.39K","1.05%"
"Jan 09, 2019","285.75","283.00","286.00","282.25","0.29K","1.06%"
"Jan 08, 2019","282.75","277.75","283.25","277.50","0.25K","1.16%"
"Jan 07, 2019","279.50","279.50","280.25","276.50","0.30K","-0.18%"
"Jan 04, 2019","280.00","278.00","280.25","277.50","0.22K","0.54%"
"Jan 03, 2019","278.50","278.25","281.25","278.00","0.26K","0.09%"
"Jan 02, 2019","278.25","275.25","278.25","273.75","0.24K","1.09%"
"Dec 31, 2018","275.25","275.00","275.75","273.50","0.12K","0.64%"
"Dec 28, 2018","273.50","273.75","274.25","271.25","0.45K","0.00%"
"Dec 27, 2018","273.50","275.00","276.75","272.50","0.24K","-0.73%"
"Dec 26, 2018","275.50","275.50","276.00","274.25","0.17K","-0.09%"
"Dec 24, 2018","275.75","276.50","277.25","275.25","0.12K","-0.54%"
"Dec 21, 2018","277.25","278.25","278.25","272.75","0.68K","-0.36%"
"Dec 20, 2018","278.25","287.00","287.25","277.25","0.54K","-2.88%"
